directory,ipTM,IPSAE,LIS,iLIS
B5MCJ9,0.65,NA,NA,NA
O00141,0.59,0.16335,0.187,0.231521
O00311,0.43,0.016698,0.1281,0.173703
O00418,0.29,0.0,0.0,0.000000
O00444,0.26,0.0,0.036,0.067076
O00506,0.26,0.0,0.0,0.000000
O14578,0.24,0.0,0.0,0.000000
O14730,0.22,0.0,0.0,0.000000
O14733,0.31,0.088785,0.4691,0.532189
O14757,0.42,0.011191,0.0432,0.078030
O14874,0.44,0.024967,0.1724,0.242157
O14920,0.28,0.0,0.0,0.000000
O14936,0.23,0.0,0.0,0.000000
O14965,0.32,0.0,0.025,0.050000
O14976,0.25,0.0,0.0,0.000000
O15021,0.28,0.036443,0.2338,0.282458
O15075,0.43,0.253162,0.1669,0.223898
O15111,0.27,0.0,0.0,0.000000
O15164,0.23,0.0,0.0,0.000000
O15264,0.44,0.0,0.0271,0.057534
O15530,0.3,0.0,0.0,0.000000
O43293,0.21,0.0,0.0,0.000000
O43683,0.26,0.014981,0.1328,0.152555
O43781,0.56,0.390605,0.2806,0.321348
O43930,0.53,0.017934,0.1235,0.158989
O60229,0.35,0.013938,0.1273,0.163990
O60285,0.27,0.0,0.0,0.000000
O60307,0.25,0.0,0.0075,0.015811
O60566,0.25,0.0,0.0,0.000000
O60885,0.24,0.0,0.0,0.000000
O75116,0.26,0.0,0.0,0.000000
O75385,0.24,0.0,0.0,0.000000
O75460,0.23,0.0,0.0,0.000000
O75582,0.27,0.0,0.0,0.000000
O75676,0.28,0.0,0.025,0.050000
O75716,0.58,0.012126,0.0914,0.123880
O75914,0.22,0.0,0.0,0.000000
O75962,NA,NA,NA,NA
O76039,0.36,0.097554,0.1428,0.197927
O94768,0.49,0.012108,0.0563,0.116966
O94804,0.22,0.0,0.0,0.000000
O94806,0.27,0.0,0.0,0.000000
O94921,0.33,0.0,0.0,0.000000
O95382,0.23,0.0,0.0,0.000000
O95747,0.23,0.0,0.0,0.000000
O95819,0.21,0.0,0.0,0.000000
O95835,0.38,0.16206,0.2448,0.281671
O96013,0.25,0.0,0.0,0.000000
O96017,0.46,0.390905,0.4668,0.510502
P00540,0.72,0.458705,0.2854,0.352832
P05129,0.29,0.0,0.0,0.000000
P05771,0.35,0.0,0.0,0.000000
P06493,0.65,0.085628,0.091,0.155283
P0C1S8,0.21,0.0,0.0,0.000000
P0C263,0.59,0.012321,0.0818,0.116383
P0C264,0.46,0.0,0.0276,0.055382
P11274,0.23,0.0,0.0,0.000000
P11309,0.56,0.011778,0.0743,0.093913
P11801,0.22,0.0,0.0,0.000000
P11802,0.32,0.0,0.0,0.000000
P15735,0.35,0.0,0.0,0.000000
P16066,0.22,0.0,0.0,0.000000
P17252,0.31,0.0,0.0,0.000000
P17612,0.72,0.22926,0.1567,0.181003
P19525,0.24,0.0,0.0,0.000000
P19784,0.48,0.0,0.0,0.000000
P20594,0.23,0.0,0.0,0.000000
P20794,0.24,0.0,0.0,0.000000
P21127,0.41,0.201987,0.1804,0.227858
P21675,0.24,0.014902,0.0995,0.126063
P22612,0.72,0.287273,0.2517,0.317168
P22694,0.76,0.380626,0.2586,0.306820
P23443,0.28,0.0,0.0083,0.020412
P24723,0.48,0.279436,0.1784,0.242907
P24941,0.77,0.340053,0.1578,0.289876
P25092,0.23,0.0,0.0,0.000000
P25098,0.45,0.010516,0.0581,0.072055
P25440,0.23,0.0,0.0,0.000000
P27361,0.81,0.557061,0.2877,0.312664
P27448,0.33,0.014994,0.1015,0.164151
P28482,0.46,0.0,0.0083,0.016667
P30291,0.24,0.0,0.0,0.000000
P31152,0.31,0.0,0.0712,0.087500
P31749,0.28,0.0,0.0,0.000000
P31751,0.36,0.0,0.0317,0.066978
P32298,0.23,0.0,0.0,0.000000
P33981,0.38,0.078551,0.1178,0.154080
P34947,0.41,0.0,0.0477,0.040000
P35626,0.48,0.012749,0.0818,0.098767
P36507,0.24,0.0,0.0,0.000000
P41279,0.26,0.0,0.0,0.000000
P41743,0.25,0.0,0.0,0.000000
P42345,0.29,0.0,0.0,0.000000
P43250,0.37,0.0,0.0,0.000000
P45983,0.46,0.010734,0.0271,0.021246
P45984,0.45,0.0,0.0315,0.066194
P45985,0.25,0.0,0.0,0.000000
P46734,0.26,0.0,0.0,0.000000
P48729,0.44,0.0,0.0167,0.000000
P48730,0.47,0.016426,0.1445,0.204174
P49137,0.44,0.0,0.0367,0.070234
P49336,0.63,0.3389,0.1992,0.235529
P49674,0.31,0.0,0.0,0.000000
P49759,0.28,0.0,0.0,0.000000
P49760,0.59,0.351226,0.1365,0.209427
P49761,0.34,0.0,0.0125,0.025000
P49840,0.32,0.0,0.0,0.000000
P49841,0.32,0.0,0.0,0.000000
P49842,0.24,0.0,0.0,0.000000
P50613,0.34,0.0,0.0,0.000000
P50750,0.68,0.246132,0.2586,0.349322
P51812,0.26,0.0,0.0,0.000000
P51817,0.59,0.094613,0.2078,0.270067
P51841,0.22,0.0,0.0,0.000000
P51955,0.42,0.021034,0.1709,0.225236
P51956,0.23,0.0,0.0,0.000000
P51957,0.23,0.0,0.0,0.000000
P52564,0.38,0.0,0.0,0.000000
P53004,0.28,0.0,0.0,0.000000
P53350,0.28,0.0,0.0,0.000000
P53355,0.3,0.0,0.0,0.000000
P53778,0.48,0.0,0.0317,0.063611
P53779,0.54,0.022592,0.0795,0.116262
P54646,0.34,0.0,0.0,0.000000
P57058,0.26,0.0,0.0,0.000000
P57059,0.4,0.02096,0.1107,0.142544
P68400,0.41,0.0,0.0,0.000000
P78362,0.24,0.0,0.0,0.000000
P78368,0.34,0.0,0.0,0.000000
P78527,NA,NA,NA,NA
Q00526,0.72,0.257384,0.1467,0.267567
Q00532,0.34,0.0,0.0333,0.058333
Q00534,0.32,0.0,0.0,0.000000
Q00535,0.44,0.0,0.0,0.000000
Q00536,0.23,0.0,0.0,0.000000
Q00537,0.27,0.0,0.0,0.000000
Q02156,0.26,0.0,0.0,0.000000
Q02750,0.27,0.0,0.0,0.000000
Q02846,0.22,0.0,0.0,0.000000
Q04759,0.57,0.52518,0.3523,0.430276
Q05513,0.23,0.0,0.0,0.000000
Q05655,0.29,0.0,0.0,0.000000
Q05823,0.23,0.0,0.0,0.000000
Q07002,0.24,0.0,0.0,0.000000
Q09013,0.29,0.0,0.0,0.000000
Q12851,0.28,0.0,0.0,0.000000
Q12979,0.23,0.0,0.0,0.000000
Q13043,0.25,0.0,0.0,0.000000
Q13131,0.23,0.0,0.0,0.000000
Q13153,0.45,0.045799,0.1036,0.135636
Q13163,0.23,0.0,0.0,0.000000
Q13164,0.23,0.0,0.0,0.000000
Q13177,0.26,0.0,0.0,0.000000
Q13188,0.31,0.0,0.0,0.000000
Q13233,0.23,0.0,0.0,0.000000
Q13237,0.24,0.0,0.0,0.000000
Q13263,0.22,0.0,0.0,0.000000
Q13315,NA,NA,NA,NA
Q13464,0.24,0.0,0.0,0.000000
Q13523,0.25,0.0,0.0,0.000000
Q13535,0.28,0.0,0.0,0.000000
Q13554,0.41,0.246837,0.1649,0.198507
Q13555,0.28,0.0,0.0396,0.090906
Q13557,0.31,0.0,0.0,0.000000
Q13627,0.33,0.0,0.0331,0.066161
Q13976,0.2,0.0,0.0,0.000000
Q14004,0.24,0.0,0.0,0.000000
Q14012,0.65,0.262152,0.132,0.192314
Q14164,0.32,0.0,0.0,0.000000
Q14296,0.29,0.0,0.0,0.000000
Q14680,0.22,0.0,0.0,0.000000
Q15059,0.24,0.010959,0.0733,0.091739
Q15118,0.32,0.0,0.0,0.000000
Q15119,0.28,0.0,0.0,0.000000
Q15120,0.29,0.0,0.0,0.000000
Q15131,0.33,0.0,0.0,0.000000
Q15139,0.33,0.010516,0.0239,0.049788
Q15208,0.51,0.016499,0.1451,0.167510
Q15349,0.26,0.0,0.0,0.000000
Q15418,0.26,0.0,0.0,0.000000
Q15746,0.26,0.0,0.0,0.000000
Q15759,0.38,0.0,0.0139,0.032275
Q15772,NA,NA,NA,NA
Q15831,0.25,0.0,0.0,0.000000
Q15835,0.31,0.0,0.0,0.000000
Q16512,0.3,0.0,0.0,0.000000
Q16513,0.26,0.0,0.0,0.000000
Q16539,0.48,0.0,0.0,0.000000
Q16566,0.44,0.013781,0.0641,0.103014
Q16644,0.53,0.10102,0.224,0.293099
Q16654,0.27,0.0,0.0,0.000000
Q16659,0.29,0.023341,0.1745,0.227554
Q16816,0.38,0.0,0.0,0.000000
Q2M2I8,0.23,0.0,0.0,0.000000
Q32MK0,0.22,0.0,0.0,0.000000
Q3MIX3,0.28,0.0,0.0,0.000000
Q504Y2,0.38,0.0,0.0319,0.038889
Q52WX2,0.61,0.454409,0.3149,0.378107
Q56UN5,0.24,0.0,0.0,0.000000
Q58A45,0.26,0.0,0.0,0.000000
Q58F21,0.24,0.0,0.0,0.000000
Q5MAI5,0.39,0.0,0.0381,0.035417
Q5TCY1,0.24,0.0,0.0,0.000000
Q5VST9,NA,NA,NA,NA
Q5VT25,0.28,0.0,0.0,0.000000
Q6DT37,0.28,0.0,0.0,0.000000
Q6IBK5,0.22,NA,NA,NA
Q6IQ55,0.25,0.0,0.0,0.000000
Q6P0Q8,0.27,0.025073,0.1553,0.194986
Q6P2M8,0.23,0.0,0.0,0.000000
Q6P3R8,0.32,0.0,0.0238,0.050787
Q6P3W7,0.47,0.201665,0.1479,0.226714
Q6P5Z2,0.23,0.0,0.0,0.000000
Q6PHR2,0.41,0.010734,0.0331,0.071078
Q6SA08,0.37,0.0,0.0,0.000000
Q6XUX3,0.22,0.0,0.0,0.000000
Q6ZN16,0.24,0.0,0.0,0.000000
Q6ZWH5,0.24,0.0,0.0,0.000000
Q76MJ5,0.23,0.0,0.0,0.000000
Q7KZI7,0.24,0.0,0.0,0.000000
Q7L7X3,0.21,0.0,0.0,0.000000
Q7RTN6,0.72,0.568541,0.3593,0.432754
Q7Z2Y5,0.3,0.011677,0.0621,0.077269
Q7Z695,0.23,0.0,0.0,0.000000
Q7Z7A4,0.26,0.0,0.0,0.000000
Q86SG6,0.24,0.0,0.0,0.000000
Q86TB3,0.27,0.0,0.0,0.000000
Q86TW2,0.71,0.415109,0.2262,0.353297
Q86UE8,0.51,0.310738,0.2856,0.393734
Q86UX6,0.4,0.011932,0.0591,0.078326
Q86V86,0.37,0.0,0.0,0.000000
Q86Y07,0.32,0.0,0.0,0.000000
Q86YV5,0.25,0.0,0.0,0.000000
Q86YV6,0.42,0.0,0.0299,0.059024
Q86Z02,0.27,0.0,0.0,0.000000
Q8IU85,0.63,0.273352,0.1451,0.205903
Q8IV63,0.27,0.0,0.0,0.000000
Q8IVH8,0.27,0.0,0.0,0.000000
Q8IVW4,0.31,0.0,0.0593,0.069444
Q8IW41,0.21,0.0,0.0,0.000000
Q8IWB6,NA,NA,NA,NA
Q8IWQ3,0.24,0.013652,0.1202,0.169444
Q8IY84,0.57,0.012763,0.0589,0.096920
Q8IYT8,0.22,0.0,0.0,0.000000
Q8IZE3,0.22,0.0,0.0,0.000000
Q8IZL9,0.29,0.0,0.0,0.000000
Q8IZX4,0.24,0.015385,0.1123,0.152787
Q8N165,0.58,0.014088,0.0666,0.085343
Q8N2I9,0.25,0.0,0.0,0.000000
Q8N4C8,0.26,0.0,0.0,0.000000
Q8N568,0.45,0.36492,0.2054,0.264511
Q8N5S9,0.35,0.017018,0.1218,0.151600
Q8N752,0.42,0.0,0.0,0.000000
Q8NCB2,0.53,0.317929,0.2618,0.313273
Q8NE28,0.23,0.0,0.0,0.000000
Q8NE63,0.44,0.042339,0.1488,0.185807
Q8NEV4,0.24,0.0,0.0,0.000000
Q8NG66,0.26,0.078622,0.3802,0.424728
Q8NI60,0.3,0.0,0.0042,0.000000
Q8TAS1,0.67,0.275824,0.2107,0.228826
Q8TD08,0.4,0.012155,0.0691,0.088408
Q8TD19,0.27,0.0,0.0,0.000000
Q8TDC3,0.22,0.0,0.0,0.000000
Q8TDR2,0.51,0.225099,0.1771,0.244520
Q8TDX7,0.57,0.010905,0.0332,0.060880
Q8TEA7,0.29,0.0,0.0,0.000000
Q8TF76,0.23,0.0,0.0,0.000000
Q8WTQ7,0.77,0.498461,0.2583,0.312869
Q8WU08,0.26,0.0,0.0,0.000000
Q8WXR4,0.27,0.0,0.0,0.000000
Q8WZ42,NA,NA,NA,NA
Q92519,0.69,0.467768,0.3226,0.418148
Q92630,0.33,0.0,0.0,0.000000
Q92772,0.5,0.127237,0.1652,0.245975
